
# --------------------------------------------------------------------------------------------------------
# Contents:
# Dutch soil profiles, BOFEK clustering and hydraulic properties.
#
# Source:
# Soil map of the Netherlands: https://service.pdok.nl/bzk/bro-bodemkaart/atom/bro-bodemkaart.xml
# BOFEK clustering, Staringreeks: https://www.wur.nl/nl/show/bodemfysische-eenhedenkaart-bofek2020.htm
#
# Date:
# 2025-04-17
# --------------------------------------------------------------------------------------------------------

soil_id,soil_unit,soil_name,soil_classification,soil_landuse,bofek_cluster,bofek_dominant,bofek_name,bofek_area,layer_number,layer_faohorizon,layer_ztop,layer_zbot,layer_staringclass,layer_staringclassname,layer_staringdescription,layer_staringlabel,layer_orgmat,layer_pclay,layer_psilt,layer_bdens,layer_ores,layer_osat,layer_alfa,layer_npar,layer_lexp,layer_ksatfit
10182,Zn21g,Vlakvaaggronden; leemarm en zwak lemig fijn zand,,bos,3019,0,Zwak lemige zandgronden IV,625.2890834,3,Cu2,0.4,1.0,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,4,1.674,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
10182,Zn21g,Vlakvaaggronden; leemarm en zwak lemig fijn zand,,bos,3019,0,Zwak lemige zandgronden IV,625.2890834,4,Cu3,1.0,1.2,205,O05,grof zand,grof zand,0.3,2,4,1.516,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
10190,kZn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,,grasland,3011,1,Zwak lemige zandgronden met kleidek (vaaggronden),6406.271539,1,Apg,0.0,0.15,109,B09,zware zavel,zware zavel,6.0,20,15,1.268,0.0,0.42953862,0.00696387,1.26717854,-2.38705852,1.74758567
2151,fvWzt,Moerige eerdgronden met een moerige bovengrond op zand,,grasland,2006,0,Moerige gronden met moerige bovengrond I,1127.7966,3,Ahb,0.3,0.45,207,O07,beekleem,beekleem,5.0,18,27,1.325,0.01,0.51312621,0.01198516,1.15301795,-2.01328903,37.55041952
2151,fvWzt,Moerige eerdgronden met een moerige bovengrond op zand,,grasland,2006,0,Moerige gronden met moerige bovengrond I,1127.7966,4,Cu,0.45,0.9,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,3,6,1.669,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
2151,fvWzt,Moerige eerdgronden met een moerige bovengrond op zand,,grasland,2006,0,Moerige gronden met moerige bovengrond I,1127.7966,5,Cu,0.9,1.2,207,O07,beekleem,beekleem,0.3,16,22,1.55,0.01,0.51312621,0.01198516,1.15301795,-2.01328903,37.55041952
2160,iWz,Moerige eerdgronden met een veenkoloniaal dek en een moerige tussenlaag op zand,Moerige gronden,akkerbouw,2006,0,Moerige gronden met moerige bovengrond I,13958.31867,1,Aap,0.0,0.2,115,B15,venig zand,venig zand,15.0,4,9,0.64,0.01,0.52845807,0.02373064,1.28234728,-1.47756447,87.45078892
2160,iWz,Moerige eerdgronden met een veenkoloniaal dek en een moerige tussenlaag op zand,Moerige gronden,akkerbouw,2006,0,Moerige gronden met moerige bovengrond I,13958.31867,2,Cw,0.2,0.35,218,O18,moerige tussenlaag,moerige tussenlaag,90.0,4,6,0.169,0.01,0.58027825,0.01265676,1.31617171,-0.78553413,35.95127916
2160,iWz,Moerige eerdgronden met een veenkoloniaal dek en een moerige tussenlaag op zand,Moerige gronden,akkerbouw,2006,0,Moerige gronden met moerige bovengrond I,13958.31867,3,Ahb,0.35,0.5,203,O03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,8.0,6,24,1.234,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
2160,iWz,Moerige eerdgronden met een veenkoloniaal dek en een moerige tussenlaag op zand,Moerige gronden,akkerbouw,2006,0,Moerige gronden met moerige bovengrond I,13958.31867,4,Cu,0.5,1.2,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.4,3,7,1.639,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9013010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3009,0,Zwak lemige zandgronden I,1240.635311,1,Ap,0.0,0.25,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,3.0,4,8,1.466,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
9013010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3009,0,Zwak lemige zandgronden I,1240.635311,2,Bw,0.25,0.4,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,1.3,4,8,1.616,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9013010,Y21,Holtpodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3009,0,Zwak lemige zandgronden I,1240.635311,3,BCw,0.4,0.7,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.8,3,9,1.64,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
