CLUSTER_BOFEK,CLUSTER_DOMINANT,SOILPROFILE_INDEX,SOILPROFILE_CODE,AREA,SOIL_GROUP,LAYER,LAYER_ZBOTTOM,LAYER_STARINGCLASS,STARING_NAME,ORES,OSAT,ALFA,NPAR,KSATFIT,LEXP
4022,0,15241,Mn15Ap,1790.153245,4,4,90,26,O08,0.0,0.45375142,0.01132406,1.34596812,8.64086044,-0.90382318
4022,0,15241,Mn15Ap,1790.153245,4,5,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4022,0,16120,fRn62C,2934.318767,4,1,10,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4022,0,16120,fRn62C,2934.318767,4,2,20,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4022,0,16120,fRn62C,2934.318767,4,3,60,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4022,0,16120,fRn62C,2934.318767,4,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4022,0,90116050,Rn52A,1084.169651,4,1,25,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4022,0,90116050,Rn52A,1084.169651,4,2,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4022,0,90116050,Rn52A,1084.169651,4,3,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4022,1,90216050,Rn52A,9619.213369,4,1,25,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4022,1,90216050,Rn52A,9619.213369,4,2,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4022,1,90216050,Rn52A,9619.213369,4,3,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4023,0,9010,EK19,5560.541978,4,1,30,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4023,0,9010,EK19,5560.541978,4,2,70,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4023,0,9010,EK19,5560.541978,4,3,120,25,O07,0.01,0.51312621,0.01198516,1.15301795,37.55041952,-2.01328903
4023,0,15140,Mo20A,4274.606752,4,1,10,7,B07,0.0,0.40058182,0.01834939,1.24827945,14.58232666,0.9520164
4023,0,15140,Mo20A,4274.606752,4,2,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4023,0,15140,Mo20A,4274.606752,4,3,110,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4023,0,15140,Mo20A,4274.606752,4,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4023,0,17010,KRn1,6271.656486,4,1,20,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4023,0,17010,KRn1,6271.656486,4,2,40,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4023,0,17010,KRn1,6271.656486,4,3,65,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4023,0,17010,KRn1,6271.656486,4,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4023,1,90215240,Mn15A,18475.98346,4,1,15,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4023,1,90215240,Mn15A,18475.98346,4,2,25,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4023,1,90215240,Mn15A,18475.98346,4,3,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4023,1,90215240,Mn15A,18475.98346,4,4,80,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4023,1,90215240,Mn15A,18475.98346,4,5,120,26,O08,0.0,0.45375142,0.01132406,1.34596812,8.64086044,-0.90382318
4024,0,15190,Mn12Ap,7386.692689,4,1,25,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4024,0,15190,Mn12Ap,7386.692689,4,2,40,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4024,0,15190,Mn12Ap,7386.692689,4,3,65,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,15190,Mn12Ap,7386.692689,4,4,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,15210,Mn22Ap,4213.339128,4,1,25,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,15210,Mn22Ap,4213.339128,4,2,50,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,15210,Mn22Ap,4213.339128,4,3,65,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4024,0,15210,Mn22Ap,4213.339128,4,4,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,15370,Mn52Cp,2462.090731,4,1,10,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4024,0,15370,Mn52Cp,2462.090731,4,2,20,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4024,0,15370,Mn52Cp,2462.090731,4,3,40,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4024,0,15370,Mn52Cp,2462.090731,4,4,70,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,15370,Mn52Cp,2462.090731,4,5,90,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,15370,Mn52Cp,2462.090731,4,6,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,16110,Rn62C,2535.094232,4,1,10,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16110,Rn62C,2535.094232,4,2,20,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16110,Rn62C,2535.094232,4,3,60,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,16110,Rn62C,2535.094232,4,4,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,16111,Rn62Cg,552.7452668,4,1,10,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16111,Rn62Cg,552.7452668,4,2,20,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16111,Rn62Cg,552.7452668,4,3,60,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,16111,Rn62Cg,552.7452668,4,4,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,16140,Rn62Cp,5927.220775,4,1,10,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16140,Rn62Cp,5927.220775,4,2,20,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,0,16140,Rn62Cp,5927.220775,4,3,60,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,0,16140,Rn62Cp,5927.220775,4,4,90,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,0,16140,Rn62Cp,5927.220775,4,5,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
4024,1,15200,Mn22A,10434.3076,4,1,25,9,B09,0.0,0.42953862,0.00696387,1.26717854,1.74758567,-2.38705852
4024,1,15200,Mn22A,10434.3076,4,2,50,28,O10,0.01,0.47234331,0.01004814,1.24569139,2.30006721,-0.79295916
4024,1,15200,Mn22A,10434.3076,4,3,70,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4024,1,15200,Mn22A,10434.3076,4,4,120,19,O01,0.01,0.36584689,0.01598691,2.16275113,22.32215442,2.8679672
5001,1,22010,KX,6199.980197,5,1,15,6,B06,0.01,0.38481561,0.02092272,1.24225002,104.10300497,-1.20013
