* Project:       zegveld
* File content:  specified output data of SWAP
* File name:     .\result_output.csv
* Model version: Swap 4.2.0
* Generated at:  2024-08-01 16:00:34
* (d),(cm),(cm),(kg/ha),(kg/ha),(kg/ha),(kg/ha)
DATETIME,TREDDRY,TREDWET,PGRASSDM,GRASSDM,PMOWDM,MOWDM
1993-05-15,1.52527E-06,7.64453E-07,1247.11036,785.92908,4088.19507,3815.53341
1993-05-16,.00020,8.84566E-05,1381.63288,870.15772,4088.19507,3815.53341
1993-05-17,.00243,.00039,1524.80817,959.09968,4088.19507,3815.53341
1993-05-18,4.59734E-06,3.62090E-07,1618.06791,1017.40135,4088.19507,3815.53341
1993-05-19,0.,0.,1755.01000,1104.16140,4088.19507,3815.53341
1993-05-20,0.,0.,1872.81524,1179.66198,4088.19507,3815.53341
1993-05-21,0.,0.,1968.90522,1242.85734,4088.19507,3815.53341
1993-05-22,0.,0.,2155.88166,1366.39481,4088.19507,3815.53341
1993-05-23,0.,0.,2350.89142,1497.46496,4088.19507,3815.53341
1993-05-24,.00013,1.06709E-05,2551.37494,1634.68031,4088.19507,3815.53341
1993-05-25,.00894,.00069,2753.78284,1769.76275,4088.19507,3815.53341
1993-05-26,.02665,.00188,2962.07977,1899.79380,4088.19507,3815.53341
1993-05-27,5.29594E-05,2.45561E-06,3009.66620,1935.73432,4088.19507,3815.53341
1993-05-28,.00095,.01003,3099.86466,1981.64732,4088.19507,3815.53341
1993-05-29,0.,0.,3332.54586,2148.10238,4088.19507,3815.53341
1993-05-30,0.,0.,3550.28916,2307.69937,4088.19507,3815.53341
1993-05-31,0.,0.,3729.48386,2442.71246,4088.19507,3815.53341
1993-06-01,0.,0.,700.00000,2587.34972,7117.67893,3815.53341
1993-06-02,7.24174E-05,.02547,700.00000,2684.25096,7117.67893,3815.53341
1993-06-03,0.,.00666,700.00000,2782.38392,7117.67893,3815.53341
1993-06-04,0.,0.,776.13129,2957.13716,7117.67893,3815.53341
1993-06-05,0.,0.,863.11249,3144.22975,7117.67893,3815.53341
1993-06-06,0.,0.,966.87043,3350.00738,7117.67893,3815.53341
1993-06-07,0.,0.,1079.17942,3558.09531,7117.67893,3815.53341
1993-06-08,0.,0.,1204.98393,3773.74670,7117.67893,3815.53341
1993-06-09,0.,0.,1336.95410,700.00000,7117.67893,6889.28011
1993-06-10,.00018,.00373,1453.93610,700.00000,7117.67893,6889.28011
1993-06-11,0.,0.,1578.43711,700.00000,7117.67893,6889.28011
1993-06-12,0.,0.,1646.29976,731.66545,7117.67893,6889.28011
1993-06-13,0.,0.,1744.22566,778.41537,7117.67893,6889.28011
1993-06-14,0.,0.,1797.44549,804.22883,7117.67893,6889.28011
1993-06-15,0.,0.,1983.16337,896.53537,7117.67893,6889.28011
1993-06-16,5.16433E-07,.00025,2003.63589,896.53537,7117.67893,6889.28011
1993-06-17,0.,6.95203E-05,2191.11432,987.81814,7117.67893,6889.28011
1993-06-18,0.,.01605,2244.70257,988.92075,7117.67893,6889.28011
1993-06-19,0.,.05503,2407.85675,1015.54720,7117.67893,6889.28011
1993-06-20,0.,.01931,2622.86079,1103.07961,7117.67893,6889.28011
1993-06-21,0.,3.55009E-06,2810.18883,1193.39172,7117.67893,6889.28011
1993-06-22,0.,0.,2985.01500,1281.53622,7117.67893,6889.28011
1993-06-23,0.,0.,3151.06757,1369.16341,7117.67893,6889.28011
1993-06-24,0.,0.,3388.81004,1497.00013,7117.67893,6889.28011
1993-06-25,0.,0.,700.00000,1569.40118,9806.48897,6889.28011
1993-06-26,0.,0.,700.00000,1642.36170,9806.48897,6889.28011
1993-06-27,0.,0.,700.00000,1779.86642,9806.48897,6889.28011
1993-06-28,0.,0.,759.34216,1885.91026,9806.48897,6889.28011
1993-06-29,0.,0.,855.48999,2047.62181,9806.48897,6889.28011
1993-06-30,0.,0.,958.28777,2214.15180,9806.48897,6889.28011
1993-07-01,0.,0.,1072.36059,2389.89339,9806.48897,6889.28011
1993-07-02,0.,0.,1196.79763,2573.01179,9806.48897,6889.28011
1993-07-03,0.,0.,1319.66045,2746.22960,9806.48897,6889.28011
1993-07-04,0.,0.,1453.37013,2926.45092,9806.48897,6889.28011
1993-07-05,.00011,.01647,1514.70491,2979.99406,9806.48897,6889.28011
1993-07-06,0.,0.,1663.01891,3166.72023,9806.48897,6889.28011
1993-07-07,0.,0.,1799.05661,700.00000,9806.48897,9356.00034
1993-07-08,0.,0.,1956.69969,700.00000,9806.48897,9356.00034
1993-07-09,0.,0.,2081.77174,700.00000,9806.48897,9356.00034
1993-07-10,0.,0.,2262.36280,772.59383,9806.48897,9356.00034
1993-07-11,0.,0.,2421.24944,838.97443,9806.48897,9356.00034
1993-07-12,0.,7.61701E-05,2579.24395,907.61584,9806.48897,9356.00034
1993-07-13,0.,0.,2763.55684,990.56514,9806.48897,9356.00034
1993-07-14,0.,.00809,2807.96922,990.56514,9806.48897,9356.00034
1993-07-15,0.,.03685,2902.63108,990.56514,9806.48897,9356.00034
1993-07-16,0.,.07705,3047.89181,990.56514,9806.48897,9356.00034
1993-07-17,0.,.05468,700.00000,1012.00520,1.21544E+04,9356.00034
1993-07-18,0.,.04373,700.00000,1063.36646,1.21544E+04,9356.00034
1993-07-19,0.,.04817,700.00000,1066.16117,1.21544E+04,9356.00034
1993-07-20,0.,.06505,753.50101,1066.16117,1.21544E+04,9356.00034
1993-07-21,0.,.07699,823.78936,1066.16117,1.21544E+04,9356.00034
1993-07-22,0.,.06437,908.22286,1085.08646,1.21544E+04,9356.00034
1993-07-23,0.,.04414,978.35525,1105.18098,1.21544E+04,9356.00034
1993-07-24,0.,.08351,1043.17619,1105.18098,1.21544E+04,9356.00034
1993-07-25,0.,.09613,1145.80042,1105.18098,1.21544E+04,9356.00034
1993-07-26,0.,.09280,1262.43563,1105.18098,1.21544E+04,9356.00034
1993-07-27,0.,.01105,1283.44577,1105.18098,1.21544E+04,9356.00034
1993-07-28,0.,.06923,1364.36617,1105.18098,1.21544E+04,9356.00034
1993-07-29,0.,.03434,1431.24254,1110.23848,1.21544E+04,9356.00034
1993-07-30,0.,.00306,1452.24774,1110.23848,1.21544E+04,9356.00034
1993-07-31,0.,.05933,1564.32905,1110.23848,1.21544E+04,9356.00034
1993-08-01,0.,.03616,1657.27622,1110.23848,1.21544E+04,9356.00034
1993-08-02,0.,.04885,1795.41462,1126.65847,1.21544E+04,9356.00034
1993-08-03,0.,.02249,1909.42160,1148.42089,1.21544E+04,9356.00034
1993-08-04,0.,.01450,2040.85077,1180.10323,1.21544E+04,9356.00034
1993-08-05,0.,.01134,2145.57970,1206.38377,1.21544E+04,9356.00034
1993-08-06,0.,.00719,2285.25300,1247.14764,1.21544E+04,9356.00034
1993-08-07,0.,.00323,2430.95927,1293.95511,1.21544E+04,9356.00034
1993-08-08,0.,.02835,2560.90496,1313.00568,1.21544E+04,9356.00034
1993-08-09,0.,.01283,2617.11831,1322.55824,1.21544E+04,9356.00034
1993-08-10,0.,.01695,2760.82862,1359.88143,1.21544E+04,9356.00034
1993-08-11,0.,.00612,700.00000,1386.74163,1.42152E+04,9356.00034
1993-08-12,0.,.04602,700.00000,1388.77692,1.42152E+04,9356.00034
1993-08-13,0.,.04445,700.00000,1425.18275,1.42152E+04,9356.00034
1993-08-14,0.,.02014,762.04663,1467.54604,1.42152E+04,9356.00034
1993-08-15,0.,.03546,811.97887,1481.57581,1.42152E+04,9356.00034
1993-08-16,0.,.02634,872.80525,1513.68887,1.42152E+04,9356.00034
1993-08-17,0.,.02277,958.61303,1568.78494,1.42152E+04,9356.00034
1993-08-18,0.,.00878,1049.75712,1634.69243,1.42152E+04,9356.00034
1993-08-19,0.,.00240,1146.51745,1707.97855,1.42152E+04,9356.00034
1993-08-20,0.,0.,1190.09090,1742.91095,1.42152E+04,9356.00034
1993-08-21,0.,0.,1271.38984,700.00000,1.42152E+04,1.03989E+04
1993-08-22,0.,.00580,1298.13955,700.00000,1.42152E+04,1.03989E+04
1993-08-23,0.,.02508,1397.03071,732.74182,1.42152E+04,1.03989E+04
1993-08-24,0.,.01285,1501.41915,780.03557,1.42152E+04,1.03989E+04
1993-08-25,0.,.02229,1590.41551,807.65963,1.42152E+04,1.03989E+04
1993-08-26,0.,.01453,1704.69479,858.21054,1.42152E+04,1.03989E+04
1993-08-27,0.,.00257,1786.68490,900.95101,1.42152E+04,1.03989E+04
1993-08-28,0.,.00221,1915.82474,970.67983,1.42152E+04,1.03989E+04
1993-08-29,0.,0.,2036.28661,1038.34572,1.42152E+04,1.03989E+04
1993-08-30,0.,0.,2106.13765,1079.87933,1.42152E+04,1.03989E+04
1993-08-31,0.,0.,2214.93844,1143.65490,1.42152E+04,1.03989E+04
1993-09-01,0.,0.,2309.12027,1200.50619,1.42152E+04,1.03989E+04
1993-09-02,0.,0.,2351.49155,1228.42606,1.42152E+04,1.03989E+04
1993-09-03,0.,.05319,2446.20486,1240.10051,1.42152E+04,1.03989E+04
1993-09-04,0.,.02701,2542.94606,1275.95060,1.42152E+04,1.03989E+04
1993-09-05,0.,.01874,2680.58533,1343.36378,1.42152E+04,1.03989E+04
1993-09-06,0.,.00412,2824.09973,1426.14947,1.42152E+04,1.03989E+04
1993-09-07,0.,0.,700.00000,1513.99570,1.63393E+04,1.03989E+04
1993-09-08,0.,.02713,700.00000,1513.99570,1.63393E+04,1.03989E+04
1993-09-09,0.,.06914,700.00000,1528.20595,1.63393E+04,1.03989E+04
1993-09-10,0.,.04560,732.10662,1534.55673,1.63393E+04,1.03989E+04
1993-09-11,0.,.04511,783.06906,1569.01271,1.63393E+04,1.03989E+04
